Country / territory of asylum/residence,Origin,Year,Month,Value,magnitude,datetime
Hungary,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
Sweden,Syrian Arab Rep.,2010,January,39,39.0,2010-01-01
Denmark,Syrian Arab Rep.,2010,January,92,92.0,2010-01-01
Finland,Syrian Arab Rep.,2010,January,3,3.0,2010-01-01
Switzerland,Syrian Arab Rep.,2010,January,30,30.0,2010-01-01
France,Syrian Arab Rep.,2010,January,7,7.0,2010-01-01
USA (EOIR),Syrian Arab Rep.,2010,January,1,1.0,2010-01-01
Turkey,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
USA (INS/DHS),Syrian Arab Rep.,2010,January,1,1.0,2010-01-01
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2010,January,10,10.0,2010-01-01
Germany,Syrian Arab Rep.,2010,January,89,89.0,2010-01-01
Greece,Syrian Arab Rep.,2010,January,11,11.0,2010-01-01
USA (INS/DHS),Syrian Arab Rep.,2010,January,1,1.0,2010-01-01
Cyprus,Syrian Arab Rep.,2010,January,8,8.0,2010-01-01
Greece,Syrian Arab Rep.,2010,January,11,11.0,2010-01-01
Hungary,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
Italy,Syrian Arab Rep.,2010,January,3,3.0,2010-01-01
Italy,Syrian Arab Rep.,2010,January,3,3.0,2010-01-01
Malta,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
Australia,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
Netherlands,Syrian Arab Rep.,2010,January,7,7.0,2010-01-01
Norway,Syrian Arab Rep.,2010,January,6,6.0,2010-01-01
Romania,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
Spain,Syrian Arab Rep.,2010,January,8,8.0,2010-01-01
Sweden,Syrian Arab Rep.,2010,January,39,39.0,2010-01-01
Switzerland,Syrian Arab Rep.,2010,January,30,30.0,2010-01-01
Turkey,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
USA (EOIR),Syrian Arab Rep.,2010,January,1,1.0,2010-01-01
Malta,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
Austria,Syrian Arab Rep.,2010,January,17,17.0,2010-01-01
Romania,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
Canada,Syrian Arab Rep.,2010,January,11,11.0,2010-01-01
Netherlands,Syrian Arab Rep.,2010,January,7,7.0,2010-01-01
Belgium,Syrian Arab Rep.,2010,January,30,30.0,2010-01-01
Bulgaria,Syrian Arab Rep.,2010,January,2,2.0,2010-01-01
Spain,Syrian Arab Rep.,2010,January,8,8.0,2010-01-01
