"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-10-25 19:48:51 +02:00"

"Country / territory of asylum/residence",Origin,Year,Month,Value
Hungary,"Syrian Arab Rep.",2010,January,2
Hungary,"Syrian Arab Rep.",2010,February,3
Hungary,"Syrian Arab Rep.",2010,March,1
Hungary,"Syrian Arab Rep.",2010,April,3
Hungary,"Syrian Arab Rep.",2010,June,2
Hungary,"Syrian Arab Rep.",2010,July,3
Hungary,"Syrian Arab Rep.",2010,August,1
Hungary,"Syrian Arab Rep.",2010,September,2
Hungary,"Syrian Arab Rep.",2010,October,4
Hungary,"Syrian Arab Rep.",2010,November,5
Hungary,"Syrian Arab Rep.",2011,January,6
Hungary,"Syrian Arab Rep.",2011,March,9
Hungary,"Syrian Arab Rep.",2011,April,12
Hungary,"Syrian Arab Rep.",2011,May,1
Hungary,"Syrian Arab Rep.",2011,June,4
Hungary,"Syrian Arab Rep.",2011,July,1
Hungary,"Syrian Arab Rep.",2011,August,5
Hungary,"Syrian Arab Rep.",2011,September,4
Hungary,"Syrian Arab Rep.",2011,October,15
Hungary,"Syrian Arab Rep.",2011,November,29
Hungary,"Syrian Arab Rep.",2011,December,5
Hungary,"Syrian Arab Rep.",2012,January,10
Hungary,"Syrian Arab Rep.",2012,February,9
Hungary,"Syrian Arab Rep.",2012,March,2
Hungary,"Syrian Arab Rep.",2012,April,3
Hungary,"Syrian Arab Rep.",2012,May,8
Hungary,"Syrian Arab Rep.",2012,June,4
Hungary,"Syrian Arab Rep.",2012,July,17
Hungary,"Syrian Arab Rep.",2012,August,16
Hungary,"Syrian Arab Rep.",2012,September,9
Hungary,"Syrian Arab Rep.",2012,October,20
Hungary,"Syrian Arab Rep.",2012,November,39
Hungary,"Syrian Arab Rep.",2012,December,8
Hungary,"Syrian Arab Rep.",2013,January,39
Hungary,"Syrian Arab Rep.",2013,February,42
Hungary,"Syrian Arab Rep.",2013,March,72
Hungary,"Syrian Arab Rep.",2013,April,65
Hungary,"Syrian Arab Rep.",2013,May,78
Hungary,"Syrian Arab Rep.",2013,June,93
Hungary,"Syrian Arab Rep.",2013,July,101
Hungary,"Syrian Arab Rep.",2013,August,72
Hungary,"Syrian Arab Rep.",2013,September,89
Hungary,"Syrian Arab Rep.",2013,October,72
Hungary,"Syrian Arab Rep.",2013,November,110
Hungary,"Syrian Arab Rep.",2013,December,127
Hungary,"Syrian Arab Rep.",2014,January,289
Hungary,"Syrian Arab Rep.",2014,February,216
Hungary,"Syrian Arab Rep.",2014,March,110
Hungary,"Syrian Arab Rep.",2014,April,165
Hungary,"Syrian Arab Rep.",2014,May,120
Hungary,"Syrian Arab Rep.",2014,June,229
Hungary,"Syrian Arab Rep.",2014,July,505
Hungary,"Syrian Arab Rep.",2014,August,554
Hungary,"Syrian Arab Rep.",2014,September,1064
Hungary,"Syrian Arab Rep.",2014,October,1483
Hungary,"Syrian Arab Rep.",2014,November,1511
Hungary,"Syrian Arab Rep.",2014,December,503
Hungary,"Syrian Arab Rep.",2015,January,536
Hungary,"Syrian Arab Rep.",2015,February,614
Hungary,"Syrian Arab Rep.",2015,March,1264
Hungary,"Syrian Arab Rep.",2015,April,1752
Hungary,"Syrian Arab Rep.",2015,May,2034
Hungary,"Syrian Arab Rep.",2015,June,4654
Hungary,"Syrian Arab Rep.",2015,July,12346
Hungary,"Syrian Arab Rep.",2015,August,23002
Hungary,"Syrian Arab Rep.",2015,September,17720
Hungary,"Syrian Arab Rep.",2015,October,122
Hungary,"Syrian Arab Rep.",2015,November,32
Hungary,"Syrian Arab Rep.",2015,December,5
Hungary,"Syrian Arab Rep.",2016,January,16
Hungary,"Syrian Arab Rep.",2016,February,88
Hungary,"Syrian Arab Rep.",2016,March,390
Hungary,"Syrian Arab Rep.",2016,April,1152
Hungary,"Syrian Arab Rep.",2016,May,798
Hungary,"Syrian Arab Rep.",2016,June,861
Hungary,"Syrian Arab Rep.",2016,July,514
Hungary,"Syrian Arab Rep.",2016,August,286
Hungary,"Syrian Arab Rep.",2016,September,264
Hungary,"Syrian Arab Rep.",2016,October,212
Hungary,"Syrian Arab Rep.",2016,December,154
Hungary,"Syrian Arab Rep.",2017,January,79
Hungary,"Syrian Arab Rep.",2017,February,61
Hungary,"Syrian Arab Rep.",2017,March,51
Hungary,"Syrian Arab Rep.",2017,April,25
Hungary,"Syrian Arab Rep.",2017,May,46
Hungary,"Syrian Arab Rep.",2017,June,48
Greece,"Syrian Arab Rep.",2010,January,11
Greece,"Syrian Arab Rep.",2010,February,18
Greece,"Syrian Arab Rep.",2010,March,25
Greece,"Syrian Arab Rep.",2010,April,10
Greece,"Syrian Arab Rep.",2010,May,13
