date,state,city_county,address,nkill,ninjured,operations
31-Dec-13,New York,Brooklyn,60 Glenmore Ave,0,6,N/A
28-Dec-13,Alabama,Montgomery,954 Highland Ave,3,5,N/A
26-Dec-13,Louisiana,Slidell,2144 First St,2,6,N/A
26-Dec-13,Louisiana,Lockport,313 Tenth St,3,3,N/A
25-Dec-13,New Jersey,Irvington,Nye Avenue and 21st Street,3,2,N/A
25-Dec-13,New York,Medford,33A Cedarhurst Ave,1,3,N/A
22-Dec-13,Michigan,Muskegon,2300 block of W McMillan Rd,1,3,N/A
21-Dec-13,North Carolina,Shelby,Jose Street,0,4,N/A
21-Dec-13,New Jersey,Trenton,Jersey Street and Home Avenue,1,4,N/A
15-Dec-13,Florida,Homestead (Florida City),7th Avenue and 13th Terrace,1,3,N/A
15-Dec-13,Texas,Channelview,900 block of Ashland Boulevard,0,5,N/A
14-Dec-13,North Carolina,Statesville,167 Wallace Springs,0,4,N/A
7-Dec-13,Delaware,Wilmington,3421 Kirkwood Hwy,0,4,N/A
1-Dec-13,Kansas,Topeka,1629 SW Central Park,4,0,N/A
1-Dec-13,Florida,Miami,NW 64th Street and 12th Avenue,2,2,N/A
30-Nov-13,Michigan,Lansing,N/A,0,5,N/A
30-Nov-13,Georgia,Valdosta,Gordon Street and North Ashley Street,0,4,N/A
29-Nov-13,California,Fresno,Oleander and Modoc,0,4,N/A
29-Nov-13,Indiana,Indianapolis,3400 block of East 34th Street,0,4,N/A
28-Nov-13,New York,Rochester,St. Paul Boulevard and Andrews Street,0,4,N/A
25-Nov-13,Minnesota,Minneapolis,1611 E Lake St,1,3,N/A
25-Nov-13,California,Oakland,96th Avenue and Olive Street,0,7,N/A
23-Nov-13,Oklahoma,Tulsa,Pine Street and Harvard Avenue,4,1,N/A
21-Nov-13,Pennsylvania,Philadelphia,1400 block of N. 60th Street,0,4,N/A
20-Nov-13,Texas,Houston,8200 block of Sunbury,3,2,N/A
15-Nov-13,Texas,Houston,4400 block of Tiffany,1,3,N/A
11-Nov-13,New York,Brooklyn,318 Maujer St,4,1,N/A
10-Nov-13,Ohio,Canton,1215 Tuscarawas St W,1,3,N/A
10-Nov-13,Arizona,Phoenix,5800 South 53rd Glen,1,3,N/A
9-Nov-13,Texas,Cypress,7300 block of Enchanted Creek Drive,2,16,N/A
7-Nov-13,Michigan,Detroit,Conley and 7 Mile,3,7,N/A
5-Nov-13,Florida,Jacksonville,1100 block of Randolph,4,0,N/A
5-Nov-13,District of Columbia,Washington,3900 block of Minnesota Ave,0,4,N/A
3-Nov-13,California,Los Angeles,1 World Way,1,3,N/A
3-Nov-13,California,Perris,2900 block of Perris Boulevard,0,5,N/A
2-Nov-13,Kentucky,Radcliff,355 Shelby Avenue,1,3,N/A
29-Oct-13,South Carolina,Bradley (Callison),Callison Highway,5,0,N/A
27-Oct-13,California,Vallejo,200 block of Princeton Avenue,1,6,N/A
27-Oct-13,North Carolina,Southern Pines,115 Turner St,1,4,N/A
27-Oct-13,California,Roseville,6th Street and Hampton,0,4,N/A
27-Oct-13,Texas,Beaumont,500 block of Edgemore Drive,0,4,N/A
26-Oct-13,Connecticut,New Haven,85 Saint John St,1,5,N/A
26-Oct-13,Florida,Miami Gardens,NW 187 Street and 30 Avenue,0,4,N/A
21-Oct-13,Pennsylvania,Pittsburgh (Homewood),7200 block of Kelly Street,2,5,N/A
20-Oct-13,Florida,Miami,19600 block of Southwest 168th Street,2,2,N/A
20-Oct-13,Florida,Margate,7400 block of Santa Monica Drive,0,4,N/A
13-Oct-13,Pennsylvania,Harrisburg,1524 Walnut St,0,8,N/A
12-Oct-13,Oklahoma,Tulsa,12000 E 31st St,0,5,N/A
9-Oct-13,Texas,Paris,400 block of NE 6th Street,4,0,N/A
6-Oct-13,Pennsylvania,Philadelphia,54th St. and Florence Ave,1,5,N/A
6-Oct-13,Arizona,Avondale,11120 W Van Buren St,0,4,N/A
5-Oct-13,New York,Buffalo,102  Zelmer Street,0,4,N/A
5-Oct-13,California,Fresno,3883 E. Calwa #114,1,12,N/A
2-Oct-13,Nebraska,Omaha,North 42nd and Browne streets,0,4,N/A
29-Sep-13,Illinois,Chicago,6000 block of South Indiana Avenue,0,4,N/A
27-Sep-13,Ohio,Zanesville,753 Putnam Ave,0,4,N/A
25-Sep-13,North Carolina,Haw River,1003 W. Main St,0,4,N/A
24-Sep-13,West Virginia,Huntington,300 W 7th Ave,0,6,N/A
22-Sep-13,Missouri,Saint Louis,3916 North Florissant Road,1,3,N/A
22-Sep-13,Kansas,Wichita,100 block of N. Mead,1,6,N/A
22-Sep-13,Michigan,Muskegon,149 Ottawa Ave,2,4,N/A
21-Sep-13,Florida,Palm Beach,2600 block of Forest Hill Boulevard,0,4,N/A
20-Sep-13,Texas,Rice,700 block of NW 0149,5,0,N/A
20-Sep-13,California,Long Beach,6500 block of Rose Avenue,2,2,N/A
19-Sep-13,Illinois,Chicago,1809 W 50th St,0,12,N/A
18-Sep-13,Tennessee,Memphis,1033 Whitaker,1,4,N/A
17-Sep-13,Florida,Kissimmee,Flying Fortress Avenue,0,5,N/A
17-Sep-13,Nevada,Las Vegas,1300 block of Bartlett Avenue,0,4,N/A
17-Sep-13,Michigan,Lansing,1500 block of Ottawa Street,0,4,N/A
17-Sep-13,California,Stockton,700 block of North Airport Way,2,3,N/A
16-Sep-13,District of Columbia,Washington Navy Yard,1336 Isaac Hull Ave,11,3,N/A
15-Sep-13,Colorado,Colorado Springs,1609 South Nevada,0,5,N/A
15-Sep-13,Washington,Yakima,2209 W Nob Hill Blvd,0,6,N/A
15-Sep-13,Georgia,Snellville,4630 Anderson Livsey Lane,3,1,N/A
14-Sep-13,North Carolina,Marion,80 Finley Road,0,4,N/A
12-Sep-13,District of Columbia,Washington,First Street and Pierce Street NW,1,3,N/A
12-Sep-13,Tennessee,Crab Orchard,N/A,4,0,N/A
11-Sep-13,New York,New York,204 Varick St,0,4,N/A
10-Sep-13,Connecticut,Bridgeport,Reservoir Ave and Grandview Ave,1,4,N/A
7-Sep-13,Indiana,Gary,9300 block of Sunrise Boulevard,2,4,N/A
7-Sep-13,Missouri,Saint Louis,5000 block of Durant Ave,1,3,N/A
5-Sep-13,North Carolina,Charlotte,2500 block of Pinckney Avenue,0,4,N/A
25-Aug-13,California,Oakland,1300 block of 104th Avenue,0,4,N/A
25-Aug-13,Florida,Lake Butler,1050 Southeast 6th Street,4,1,N/A
25-Aug-13,Minnesota,Minneapolis,2600 block of Cedar and 2600 block of 18th Avenue South,2,2,N/A
25-Aug-13,South Carolina,Latta,214 Willis St,1,3,N/A
20-Aug-13,Maryland,Baltimore,1200 block of S. Carey St,2,2,N/A
19-Aug-13,Illinois,Chicago,1011 W. Wilson,1,4,N/A
18-Aug-13,New Jersey,Port Norris,1600 block of North Avenue,0,4,N/A
18-Aug-13,Ohio,Toledo,2272 Scottwood Ave,0,4,N/A
18-Aug-13,South Carolina,Chesterfield,3217 Center Point Rd,1,4,N/A
18-Aug-13,Illinois,Chicago,100 block of South Springfield,1,3,N/A
17-Aug-13,California,San Francisco,1738 Telegraph Avenue,0,4,N/A
