storm_name,date,hour,mph
ARLENE,20050608,1800,25
ARLENE,20050609,0000,30
ARLENE,20050609,0600,35
ARLENE,20050609,1200,35
ARLENE,20050609,1800,35
ARLENE,20050610,0000,40
ARLENE,20050610,0600,45
ARLENE,20050610,0800,45
ARLENE,20050610,1200,50
ARLENE,20050610,1800,55
ARLENE,20050611,0000,60
ARLENE,20050611,0100,60
ARLENE,20050611,0600,60
ARLENE,20050611,1200,55
ARLENE,20050611,1800,50
ARLENE,20050611,1900,50
ARLENE,20050612,0000,30
ARLENE,20050612,0600,25
ARLENE,20050612,1200,20
ARLENE,20050612,1800,20
ARLENE,20050613,0000,20
ARLENE,20050613,0600,20
ARLENE,20050613,1200,20
ARLENE,20050613,1800,20
ARLENE,20050614,0000,20
ARLENE,20050614,0600,20
BRET,20050628,1800,30
BRET,20050628,2235,35
BRET,20050629,0000,35
BRET,20050629,0600,35
BRET,20050629,1200,35
BRET,20050629,1800,25
BRET,20050630,0000,25
CINDY,20050703,1800,30
CINDY,20050704,0000,30
CINDY,20050704,0330,30
CINDY,20050704,0600,30
CINDY,20050704,1200,25
CINDY,20050704,1800,30
CINDY,20050705,0000,30
CINDY,20050705,0600,35
CINDY,20050705,1200,45
CINDY,20050705,1800,60
CINDY,20050706,0000,65
CINDY,20050706,0300,65
CINDY,20050706,0600,50
CINDY,20050706,0900,45
CINDY,20050706,1200,40
CINDY,20050706,1800,30
CINDY,20050707,0000,25
CINDY,20050707,0600,20
CINDY,20050707,1200,20
CINDY,20050707,1800,20
CINDY,20050708,0000,20
CINDY,20050708,0600,20
CINDY,20050708,1200,25
CINDY,20050708,1800,25
CINDY,20050709,0000,25
CINDY,20050709,0600,25
CINDY,20050709,1200,30
CINDY,20050709,1800,30
CINDY,20050710,0000,30
CINDY,20050710,0600,30
CINDY,20050710,1200,25
CINDY,20050710,1800,20
CINDY,20050711,0000,20
CINDY,20050711,0600,20
DENNIS,20050704,1800,25
DENNIS,20050704,2100,30
DENNIS,20050705,0000,30
DENNIS,20050705,0600,30
DENNIS,20050705,1200,35
DENNIS,20050705,1800,40
DENNIS,20050706,0000,45
DENNIS,20050706,0600,50
DENNIS,20050706,1200,55
DENNIS,20050706,1800,60
DENNIS,20050707,0000,70
DENNIS,20050707,0600,80
DENNIS,20050707,1200,90
DENNIS,20050707,1800,100
DENNIS,20050708,0000,120
DENNIS,20050708,0245,120
DENNIS,20050708,0600,110
DENNIS,20050708,1200,130
DENNIS,20050708,1800,120
DENNIS,20050708,1845,120
DENNIS,20050709,0000,100
DENNIS,20050709,0600,75
DENNIS,20050709,1200,80
DENNIS,20050709,1800,90
DENNIS,20050710,0000,110
DENNIS,20050710,0600,125
DENNIS,20050710,1200,120
DENNIS,20050710,1800,110
DENNIS,20050710,1930,105
DENNIS,20050711,0000,45
DENNIS,20050711,0600,30
DENNIS,20050711,1200,25
DENNIS,20050711,1800,20
DENNIS,20050712,0000,20
DENNIS,20050712,0600,15
DENNIS,20050712,1200,15
DENNIS,20050712,1800,15
DENNIS,20050713,0000,15
DENNIS,20050713,0600,15
DENNIS,20050713,1200,15
DENNIS,20050713,1800,15
DENNIS,20050714,0000,10
DENNIS,20050714,0600,10
DENNIS,20050714,1200,10
DENNIS,20050714,1800,10
DENNIS,20050715,0000,10
DENNIS,20050715,0600,10
DENNIS,20050715,1200,10
DENNIS,20050715,1800,10
DENNIS,20050716,0000,10
DENNIS,20050716,0600,10
DENNIS,20050716,1200,10
DENNIS,20050716,1800,10
DENNIS,20050717,0000,10
DENNIS,20050717,0600,10
DENNIS,20050717,1200,10
DENNIS,20050717,1800,10
DENNIS,20050718,0000,10
DENNIS,20050718,0600,10
EMILY,20050711,0000,25
EMILY,20050711,0600,30
EMILY,20050711,1200,30
EMILY,20050711,1800,30
EMILY,20050712,0000,35
EMILY,20050712,0600,40
EMILY,20050712,1200,45
EMILY,20050712,1800,45
EMILY,20050713,0000,45
EMILY,20050713,0600,45
EMILY,20050713,1200,50
EMILY,20050713,1800,55
EMILY,20050714,0000,70
EMILY,20050714,0600,75
EMILY,20050714,0700,75
EMILY,20050714,1200,85
EMILY,20050714,1800,100
EMILY,20050715,0000,110
EMILY,20050715,0600,115
EMILY,20050715,1200,115
EMILY,20050715,1800,95
EMILY,20050716,0000,110
EMILY,20050716,0600,120
EMILY,20050716,1200,130
EMILY,20050716,1800,135
EMILY,20050717,0000,140
EMILY,20050717,0600,135
EMILY,20050717,1200,130
EMILY,20050717,1800,125
EMILY,20050718,0000,120
EMILY,20050718,0600,115
EMILY,20050718,0630,115
EMILY,20050718,1200,65
EMILY,20050718,1800,65
EMILY,20050719,0000,75
EMILY,20050719,0600,80
EMILY,20050719,1200,80
EMILY,20050719,1800,85
EMILY,20050720,0000,110
EMILY,20050720,0600,110
EMILY,20050720,1200,110
EMILY,20050720,1800,70
EMILY,20050721,0000,45
EMILY,20050721,0600,30
EMILY,20050721,1200,25
FRANKLIN,20050721,1800,30
FRANKLIN,20050722,0000,40
FRANKLIN,20050722,0600,40
FRANKLIN,20050722,1200,45
FRANKLIN,20050722,1800,45
FRANKLIN,20050723,0000,45
FRANKLIN,20050723,0600,50
FRANKLIN,20050723,1200,60
FRANKLIN,20050723,1800,60
FRANKLIN,20050724,0000,55
FRANKLIN,20050724,0600,55
FRANKLIN,20050724,1200,45
