,storm_name,date,hour,mph,timestr,datetime
915,ADRIAN,20050519,1700,70,1700,2005-05-19 17:00:00
10,ARLENE,20050611,0,60,0000,2005-06-11 00:00:00
928,BEATRIZ,20050623,0,45,0000,2005-06-23 00:00:00
947,CALVIN,20050627,1200,45,1200,2005-06-27 12:00:00
27,BRET,20050628,2235,35,2235,2005-06-28 22:35:00
974,DORA,20050704,1200,40,1200,2005-07-04 12:00:00
43,CINDY,20050706,0,65,0000,2005-07-06 00:00:00
84,DENNIS,20050708,1200,130,1200,2005-07-08 12:00:00
151,EMILY,20050717,0,140,0000,2005-07-17 00:00:00
990,EUGENE,20050719,1800,60,1800,2005-07-19 18:00:00
178,FRANKLIN,20050723,1200,60,1200,2005-07-23 12:00:00
214,GERT,20050725,0,40,0000,2005-07-25 00:00:00
1003,ONE,20050803,1800,25,1800,2005-08-03 18:00:00
226,HARVEY,20050804,1800,55,1800,2005-08-04 18:00:00
1045,GREG,20050812,0,45,0000,2005-08-12 00:00:00
1020,FERNANDA,20050812,600,75,0600,2005-08-12 06:00:00
321,TEN,20050813,1800,30,1800,2005-08-13 18:00:00
312,IRENE,20050816,1800,90,1800,2005-08-16 18:00:00
1070,HILARY,20050822,0,90,0000,2005-08-22 00:00:00
344,JOSE,20050823,330,50,0330,2005-08-23 03:30:00
1099,IRWIN,20050826,1200,45,1200,2005-08-26 12:00:00
368,KATRINA,20050828,1800,150,1800,2005-08-28 18:00:00
393,LEE,20050831,1200,35,1200,2005-08-31 12:00:00
425,MARIA,20050906,0,100,0000,2005-09-06 00:00:00
471,NATE,20050909,0,80,0000,2005-09-09 00:00:00
508,OPHELIA,20050911,600,75,0600,2005-09-11 06:00:00
1248,LIDIA,20050917,1800,35,1800,2005-09-17 18:00:00
1197,KENNETH,20050918,1200,115,1200,2005-09-18 12:00:00
566,PHILIPPE,20050920,0,70,0000,2005-09-20 00:00:00
1161,JOVA,20050920,0,110,0000,2005-09-20 00:00:00
1266,MAX,20050920,1200,70,1200,2005-09-20 12:00:00
601,RITA,20050922,300,155,0300,2005-09-22 03:00:00
1282,NORMA,20050924,1800,50,1800,2005-09-24 18:00:00
621,NINETEEN,20050930,1800,30,1800,2005-09-30 18:00:00
1321,OTIS,20051001,600,90,0600,2005-10-01 06:00:00
642,STAN,20051004,1200,70,1200,2005-10-04 12:00:00
649,UNNAMED,20051004,1800,45,1800,2005-10-04 18:00:00
655,TAMMY,20051005,1800,45,1800,2005-10-05 18:00:00
695,VINCE,20051009,1800,65,1800,2005-10-09 18:00:00
680,TWENTY-TWO,20051012,1800,40,1800,2005-10-12 18:00:00
1339,SIXTEEN,20051015,0,30,0000,2005-10-15 00:00:00
719,WILMA,20051019,1200,160,1200,2005-10-19 12:00:00
754,ALPHA,20051023,0,45,0000,2005-10-23 00:00:00
777,BETA,20051030,600,100,0600,2005-10-30 06:00:00
803,GAMMA,20051119,1200,45,1200,2005-11-19 12:00:00
834,DELTA,20051124,1200,60,1200,2005-11-24 12:00:00
880,EPSILON,20051205,600,75,0600,2005-12-05 06:00:00
904,ZETA,20051231,600,50,0600,2005-12-31 06:00:00
