,date,time,mph,timestr,datetime
0,20050823,1800,30,1800,2005-08-23 18:00:00
1,20050824,0,30,0000,2005-08-24 00:00:00
2,20050824,600,30,0600,2005-08-24 06:00:00
3,20050824,1200,35,1200,2005-08-24 12:00:00
4,20050824,1800,40,1800,2005-08-24 18:00:00
5,20050825,0,45,0000,2005-08-25 00:00:00
6,20050825,600,50,0600,2005-08-25 06:00:00
7,20050825,1200,55,1200,2005-08-25 12:00:00
8,20050825,1800,60,1800,2005-08-25 18:00:00
9,20050825,2230,70,2230,2005-08-25 22:30:00
10,20050826,0,70,0000,2005-08-26 00:00:00
11,20050826,600,65,0600,2005-08-26 06:00:00
12,20050826,1200,75,1200,2005-08-26 12:00:00
13,20050826,1800,85,1800,2005-08-26 18:00:00
14,20050827,0,90,0000,2005-08-27 00:00:00
15,20050827,600,95,0600,2005-08-27 06:00:00
16,20050827,1200,100,1200,2005-08-27 12:00:00
17,20050827,1800,100,1800,2005-08-27 18:00:00
18,20050828,0,100,0000,2005-08-28 00:00:00
19,20050828,600,125,0600,2005-08-28 06:00:00
20,20050828,1200,145,1200,2005-08-28 12:00:00
21,20050828,1800,150,1800,2005-08-28 18:00:00
22,20050829,0,140,0000,2005-08-29 00:00:00
23,20050829,600,125,0600,2005-08-29 06:00:00
24,20050829,1110,110,1110,2005-08-29 11:10:00
25,20050829,1200,110,1200,2005-08-29 12:00:00
26,20050829,1445,105,1445,2005-08-29 14:45:00
27,20050829,1800,80,1800,2005-08-29 18:00:00
28,20050830,0,50,0000,2005-08-30 00:00:00
29,20050830,600,40,0600,2005-08-30 06:00:00
30,20050830,1200,30,1200,2005-08-30 12:00:00
31,20050830,1800,30,1800,2005-08-30 18:00:00
32,20050831,0,30,0000,2005-08-31 00:00:00
33,20050831,600,25,0600,2005-08-31 06:00:00
