,date,time,mph,timestr,datetime
0,20121021,1800,25,1800,2012-10-21 18:00:00
1,20121022,0,25,0000,2012-10-22 00:00:00
2,20121022,600,25,0600,2012-10-22 06:00:00
3,20121022,1200,30,1200,2012-10-22 12:00:00
4,20121022,1800,35,1800,2012-10-22 18:00:00
5,20121023,0,40,0000,2012-10-23 00:00:00
6,20121023,600,40,0600,2012-10-23 06:00:00
7,20121023,1200,40,1200,2012-10-23 12:00:00
8,20121023,1800,45,1800,2012-10-23 18:00:00
9,20121024,0,55,0000,2012-10-24 00:00:00
10,20121024,600,60,0600,2012-10-24 06:00:00
11,20121024,1200,65,1200,2012-10-24 12:00:00
12,20121024,1800,75,1800,2012-10-24 18:00:00
13,20121024,1900,75,1900,2012-10-24 19:00:00
14,20121025,0,85,0000,2012-10-25 00:00:00
15,20121025,525,100,0525,2012-10-25 05:25:00
16,20121025,600,100,0600,2012-10-25 06:00:00
17,20121025,900,95,0900,2012-10-25 09:00:00
18,20121025,1200,95,1200,2012-10-25 12:00:00
19,20121025,1800,90,1800,2012-10-25 18:00:00
20,20121026,0,75,0000,2012-10-26 00:00:00
21,20121026,600,70,0600,2012-10-26 06:00:00
22,20121026,1200,65,1200,2012-10-26 12:00:00
23,20121026,1800,65,1800,2012-10-26 18:00:00
24,20121027,0,60,0000,2012-10-27 00:00:00
25,20121027,600,60,0600,2012-10-27 06:00:00
26,20121027,1200,70,1200,2012-10-27 12:00:00
27,20121027,1800,70,1800,2012-10-27 18:00:00
28,20121028,0,65,0000,2012-10-28 00:00:00
29,20121028,600,65,0600,2012-10-28 06:00:00
30,20121028,1200,65,1200,2012-10-28 12:00:00
31,20121028,1800,65,1800,2012-10-28 18:00:00
32,20121029,0,70,0000,2012-10-29 00:00:00
33,20121029,600,80,0600,2012-10-29 06:00:00
34,20121029,1200,85,1200,2012-10-29 12:00:00
35,20121029,1800,80,1800,2012-10-29 18:00:00
36,20121029,2100,75,2100,2012-10-29 21:00:00
37,20121029,2330,70,2330,2012-10-29 23:30:00
38,20121030,0,70,0000,2012-10-30 00:00:00
39,20121030,600,55,0600,2012-10-30 06:00:00
40,20121030,1200,50,1200,2012-10-30 12:00:00
41,20121030,1800,40,1800,2012-10-30 18:00:00
42,20121031,0,35,0000,2012-10-31 00:00:00
43,20121031,600,35,0600,2012-10-31 06:00:00
44,20121031,1200,30,1200,2012-10-31 12:00:00
