Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
14-Feb-18,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,15,N/A
13-Feb-18,Louisiana,New Orleans,5400 block of Andry Street,2,3,N/A
11-Feb-18,Michigan,Detroit,19432 Lamont Street,4,3,N/A
10-Feb-18,Kentucky,Paintsville,413 Mill Street,5,0,N/A
7-Feb-18,Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3,N/A
5-Feb-18,Colorado,Colorado Springs,4225 Galley Rd,2,4,N/A
3-Feb-18,Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,1,5,N/A
31-Jan-18,Missouri,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,0,4,N/A
28-Jan-18,Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,5,0,N/A
28-Jan-18,Pennsylvania,Reading,123 S 3rd St,4,0,N/A
28-Jan-18,Indiana,Indianapolis,1313 N Sherman Dr,2,3,N/A
27-Jan-18,California,Los Angeles,243 East 119th St,0,5,N/A
27-Jan-18,Kentucky,Bowling Green,645 Pearl Street,0,4,N/A
25-Jan-18,District of Columbia,Washington,1600 block of Kenilworth Ave NE,0,4,N/A
23-Jan-18,Pennsylvania,Philadelphia,N 24th St and Ridge Ave,0,4,N/A
23-Jan-18,Kentucky,Benton,416 High School Road,2,14,N/A
21-Jan-18,Florida,Orlando,3101 Willow Bend Blvd,0,4,N/A
21-Jan-18,Illinois,Chicago,3200 W Division St,0,4,N/A
17-Jan-18,District of Columbia,Washington,2000 block of 16th St SE,1,3,N/A
16-Jan-18,South Carolina,York,3042 Farrier Lane,1,4,N/A
15-Jan-18,Florida,Alachua,14223 NW 156th Pl,0,5,N/A
14-Jan-18,Alabama,Eutaw,809 Mesopotamia St,1,4,N/A
14-Jan-18,Alabama,Madison,101 Westchester Dr,0,4,N/A
12-Jan-18,Tennessee,Nashville,2614 Jenkins Ct,3,2,N/A
11-Jan-18,Missouri,Saint Robert (St Robert),St Robert Outer Road and Houston Road,2,2,N/A
7-Jan-18,Alabama,Union Springs,U.S. Highway 29,1,5,N/A
7-Jan-18,Florida,Plantation,5225 W Broward Blvd,0,4,N/A
5-Jan-18,Mississippi,Hattiesburg,6168 US 49,0,6,N/A
4-Jan-18,Arkansas,Brinkley,615 W 6th St,1,3,N/A
1-Jan-18,Alabama,Huntsville,2025 Sparkman Dr NW,1,3,N/A
