datetime,nkill
01/01/17,1
01/03/17,0
01/04/17,3
01/06/17,7
01/07/17,1
01/11/17,2
01/12/17,5
01/15/17,4
01/16/17,0
01/20/17,1
01/21/17,2
01/22/17,6
01/25/17,0
01/26/17,2
01/27/17,4
01/29/17,1
01/30/17,0
01/31/17,0
02/06/17,4
02/07/17,1
02/08/17,1
02/09/17,4
02/10/17,1
02/11/17,1
02/12/17,2
02/15/17,3
02/18/17,1
02/19/17,1
02/20/17,0
02/21/17,4
02/22/17,0
02/25/17,3
02/26/17,1
02/27/17,0
02/28/17,0
03/03/17,0
03/04/17,1
03/05/17,0
03/07/17,0
03/10/17,5
03/15/17,3
03/18/17,3
03/19/17,1
03/22/17,5
03/24/17,2
03/25/17,4
03/26/17,6
03/27/17,2
03/30/17,4
04/01/17,3
04/02/17,2
04/03/17,3
04/06/17,1
04/07/17,13
04/09/17,2
04/13/17,1
04/15/17,0
04/16/17,0
04/20/17,0
04/21/17,2
04/26/17,0
04/27/17,1
04/28/17,0
04/29/17,3
04/30/17,7
05/01/17,2
05/02/17,1
05/04/17,1
05/07/17,2
05/09/17,3
05/10/17,1
05/14/17,1
05/16/17,3
05/20/17,0
05/21/17,1
05/26/17,0
05/27/17,9
05/28/17,1
05/29/17,1
05/30/17,1
06/01/17,3
06/02/17,3
06/03/17,5
06/05/17,6
06/06/17,3
06/08/17,0
06/09/17,2
06/10/17,0
06/11/17,0
06/13/17,2
06/14/17,5
06/15/17,6
06/17/17,1
06/18/17,3
06/22/17,1
06/24/17,1
06/25/17,1
06/27/17,0
06/30/17,2
07/01/17,2
07/02/17,0
07/03/17,4
07/04/17,2
07/05/17,6
07/06/17,0
07/08/17,1
07/09/17,0
07/15/17,1
07/18/17,1
07/19/17,1
07/22/17,0
07/23/17,1
07/25/17,1
07/26/17,1
07/27/17,1
07/28/17,0
07/29/17,3
07/30/17,2
07/31/17,0
08/01/17,0
08/02/17,0
08/03/17,1
08/04/17,3
08/05/17,2
08/06/17,0
08/08/17,1
08/12/17,1
08/13/17,0
08/14/17,2
08/16/17,0
08/19/17,1
08/20/17,2
08/21/17,6
08/22/17,0
08/24/17,4
08/25/17,0
08/27/17,2
08/28/17,2
09/02/17,1
09/03/17,2
09/04/17,0
09/06/17,0
09/09/17,0
09/10/17,10
09/13/17,2
09/16/17,0
09/17/17,2
09/20/17,0
09/23/17,3
09/24/17,2
09/26/17,3
09/28/17,1
09/30/17,1
10/01/17,62
10/03/17,0
10/05/17,4
10/06/17,0
10/07/17,0
10/09/17,0
10/10/17,0
10/11/17,4
10/12/17,2
10/15/17,3
10/16/17,1
10/17/17,0
10/18/17,3
10/21/17,0
10/22/17,2
10/23/17,2
10/27/17,0
10/28/17,1
10/29/17,1
11/03/17,1
11/04/17,1
11/05/17,27
11/09/17,0
11/10/17,0
11/11/17,3
11/12/17,2
11/14/17,8
11/16/17,0
11/17/17,0
11/18/17,0
11/24/17,2
11/30/17,1
12/02/17,0
12/03/17,1
12/04/17,2
12/06/17,0
12/09/17,0
12/12/17,0
12/13/17,1
12/15/17,0
12/16/17,0
12/21/17,1
12/23/17,1
12/24/17,1
12/26/17,0
12/27/17,2
12/31/17,6
